beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
Yard Sale Winter Lager,American Amber / Red Lager,12.0,0.04,22,159,Uinta Brewing Company,Salt Lake City,UT
Trader Session IPA,American IPA,12.0,0.04,42,159,Uinta Brewing Company,Salt Lake City,UT
Hop Nosh IPA,American IPA,12.0,0.073,83,159,Uinta Brewing Company,Salt Lake City,UT
SUM'R,American Blonde Ale,12.0,0.04,17,159,Uinta Brewing Company,Salt Lake City,UT
Organic Baba Black Lager,Schwarzbier,12.0,0.04,32,159,Uinta Brewing Company,Salt Lake City,UT
Hop Notch IPA (2013),American IPA,12.0,0.073,82,159,Uinta Brewing Company,Salt Lake City,UT
Cutthroat Pale Ale,American Pale Ale (APA),12.0,0.04,34,159,Uinta Brewing Company,Salt Lake City,UT
WYLD Extra Pale Ale,American Pale Ale (APA),12.0,0.04,29,159,Uinta Brewing Company,Salt Lake City,UT
Four Peaks Peach Ale,Fruit / Vegetable Beer,12.0,0.042,9,160,Four Peaks Brewing Company,Tempe,AZ
Hop Knot IPA,American IPA,12.0,0.067,47,160,Four Peaks Brewing Company,Tempe,AZ
Kilt Lifter Scottish-Style Ale (2009),Scottish Ale,12.0,0.06,21,160,Four Peaks Brewing Company,Tempe,AZ
River House,Saison / Farmhouse Ale,16.0,0.05,20,161,Martin House Brewing Company,Fort Worth,TX
Pretzel Stout,American Stout,16.0,0.065,47,161,Martin House Brewing Company,Fort Worth,TX
Rubberneck Red,American Amber / Red Ale,16.0,0.05,35,161,Martin House Brewing Company,Fort Worth,TX
Homefront IPA,American IPA,12.0,0.06,70,163,Sly Fox Brewing Company,Phoenixville,PA
Sundown,Saison / Farmhouse Ale,12.0,0.071,36,164,Round Guys Brewing,Lansdale,PA
Original Slacker Ale,English Brown Ale,12.0,0.056,40,164,Round Guys Brewing,Lansdale,PA
Beer Agent Re-Ignition,American Blonde Ale,16.0,0.053,22,165,Great Crescent Brewery,Aurora,IN
Cherry Ale,Fruit / Vegetable Beer,16.0,0.057,18,165,Great Crescent Brewery,Aurora,IN
Bourbon Barrel Aged Coconut Porter,American Porter,16.0,0.056,33,165,Great Crescent Brewery,Aurora,IN
Great Crescent IPA,American IPA,16.0,0.062,60,165,Great Crescent Brewery,Aurora,IN
Aurora Lager,Dortmunder / Export Lager,16.0,0.057,27,165,Great Crescent Brewery,Aurora,IN
Great Crescent Blonde Ale,American Blonde Ale,16.0,0.053,22,165,Great Crescent Brewery,Aurora,IN
Great Crescent Coconut Porter,American Porter,16.0,0.056,33,165,Great Crescent Brewery,Aurora,IN
Great Crescent Brown Ale,American Brown Ale,16.0,0.045,36,165,Great Crescent Brewery,Aurora,IN
Cherry Ale (1),Fruit / Vegetable Beer,16.0,0.057,18,165,Great Crescent Brewery,Aurora,IN
Aurora Lager (2011),Dortmunder / Export Lager,16.0,0.057,27,165,Great Crescent Brewery,Aurora,IN
Frosted Fields Winter Wheat,American Dark Wheat Ale,16.0,0.06,25,165,Great Crescent Brewery,Aurora,IN
Great Crescent Belgian Style Wit,Witbier,16.0,0.051,13,165,Great Crescent Brewery,Aurora,IN
Bourbon's Barrel Stout,American Stout,16.0,0.075,65,165,Great Crescent Brewery,Aurora,IN
Great Crescent Stout,English Stout,16.0,0.08,66,165,Great Crescent Brewery,Aurora,IN
Great Crescent Coconut Porter (2012),American Porter,16.0,0.056,33,165,Great Crescent Brewery,Aurora,IN
Great Crescent Dark Lager,Euro Dark Lager,16.0,0.057,23,165,Great Crescent Brewery,Aurora,IN
Great Crescent Mild Ale,English Dark Mild Ale,16.0,0.042,26,165,Great Crescent Brewery,Aurora,IN
Great Crescent IPA (2011),American IPA,16.0,0.062,60,165,Great Crescent Brewery,Aurora,IN
Great Crescent Blonde Ale (2011),American Blonde Ale,16.0,0.053,22,165,Great Crescent Brewery,Aurora,IN
Pinner Throwback IPA,American IPA,12.0,0.049,35,166,Oskar Blues Brewery,Longmont,CO
Dale's Pale Ale,American Pale Ale (APA),12.0,0.065,65,166,Oskar Blues Brewery,Longmont,CO
Dale's Pale Ale,American Pale Ale (APA),12.0,0.065,65,166,Oskar Blues Brewery,Longmont,CO
Mama's Little Yella Pils,Czech Pilsener,19.2,0.053,35,166,Oskar Blues Brewery,Longmont,CO
Dale's Pale Ale,American Pale Ale (APA),19.2,0.065,65,166,Oskar Blues Brewery,Longmont,CO
Dale's Pale Ale (10 Year Anniversary),American Pale Ale (APA),12.0,0.065,65,166,Oskar Blues Brewery,Longmont,CO
Dale's Pale Ale (2012),American Pale Ale (APA),12.0,0.065,65,166,Oskar Blues Brewery,Longmont,CO
Gordon Imperial Red (2010),American Double / Imperial IPA,12.0,0.087,85,166,Oskar Blues Brewery,Longmont,CO
Dale's Pale Ale (2011),American Pale Ale (APA),12.0,0.065,65,166,Oskar Blues Brewery,Longmont,CO
Dale's Pale Ale (2010),American Pale Ale (APA),12.0,0.065,65,166,Oskar Blues Brewery,Longmont,CO
G'KNIGHT (16 oz.),American Double / Imperial IPA,16.0,0.087,85,166,Oskar Blues Brewery,Longmont,CO
HGH (Home Grown Hops): Part Duh,American Strong Ale,12.0,0.08,70,166,Oskar Blues Brewery,Longmont,CO
One Hit Wonder,American Double / Imperial IPA,12.0,0.09,60,166,Oskar Blues Brewery,Longmont,CO
G'KNIGHT (12 oz.),American Double / Imperial IPA,12.0,0.087,85,166,Oskar Blues Brewery,Longmont,CO
Ten Fidy Imperial Stout,Russian Imperial Stout,12.0,0.099,98,166,Oskar Blues Brewery,Longmont,CO
Mama's Little Yella Pils,Czech Pilsener,12.0,0.053,35,166,Oskar Blues Brewery,Longmont,CO
GUBNA Imperial IPA,American Double / Imperial IPA,12.0,0.099,100,166,Oskar Blues Brewery,Longmont,CO
Old Chub,Scottish Ale,12.0,0.08,35,166,Oskar Blues Brewery,Longmont,CO
Gordon Ale (2009),American Double / Imperial IPA,12.0,0.087,85,166,Oskar Blues Brewery,Longmont,CO
Dale's Pale Ale,American Pale Ale (APA),12.0,0.065,65,166,Oskar Blues Brewery,Longmont,CO
The Golden One,American Pilsner,12.0,0.063,21,168,High Hops Brewery,Windsor,CO
The Power of Zeus,American Pale Ale (APA),12.0,0.07,68,168,High Hops Brewery,Windsor,CO
Aviator Raspberry Blonde,American Blonde Ale,12.0,0.049,25,169,Crooked Fence Brewing Company,Garden City,ID
Little Sister India Style Session Ale,American IPA,12.0,0.043,60,170,Everybody's Brewing,White Salmon,WA
Country Boy IPA,American IPA,12.0,0.062,80,170,Everybody's Brewing,White Salmon,WA
Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,0.057,13,171,Anderson Valley Brewing Company,Boonville,CA
Summer Solstice,Cream Ale,12.0,0.056,4,171,Anderson Valley Brewing Company,Boonville,CA
Hop Ottin' IPA,American IPA,12.0,0.07,80,171,Anderson Valley Brewing Company,Boonville,CA
Boont Amber Ale,American Amber / Red Ale,12.0,0.058,15,171,Anderson Valley Brewing Company,Boonville,CA
Barney Flats Oatmeal Stout,Oatmeal Stout,12.0,0.057,13,171,Anderson Valley Brewing Company,Boonville,CA
El Steinber Dark Lager,Vienna Lager,16.0,0.055,25,171,Anderson Valley Brewing Company,Boonville,CA
Boont Amber Ale (2010),American Amber / Red Ale,12.0,0.058,15,171,Anderson Valley Brewing Company,Boonville,CA
Summer Solstice Cerveza Crema (2009),Cream Ale,12.0,0.056,4,171,Anderson Valley Brewing Company,Boonville,CA
Barney Flats Oatmeal Stout (2012),Oatmeal Stout,12.0,0.057,13,171,Anderson Valley Brewing Company,Boonville,CA
Winter Solstice,Winter Warmer,12.0,0.069,6,171,Anderson Valley Brewing Company,Boonville,CA
Hop Ottin' IPA (2011),American IPA,12.0,0.07,80,171,Anderson Valley Brewing Company,Boonville,CA
Boont Amber Ale (2011),American Amber / Red Ale,12.0,0.058,15,171,Anderson Valley Brewing Company,Boonville,CA
Summer Solstice (2011),Cream Ale,12.0,0.056,4,171,Anderson Valley Brewing Company,Boonville,CA
Poleeko Gold Pale Ale (2009),American Pale Ale (APA),12.0,0.055,28,171,Anderson Valley Brewing Company,Boonville,CA
Second Fiddle,American Double / Imperial IPA,16.0,0.082,80,172,Fiddlehead Brewing Company,Shelburne,VT
Hodad Porter,American Porter,16.0,0.055,30,172,Fiddlehead Brewing Company,Shelburne,VT
Pride of Texas Pale Ale,American Pale Ale (APA),12.0,0.058,60,176,Rahr & Sons Brewing Company,Fort Worth,TX
Bitter Bitch,American Pale Ale (APA),12.0,0.061,60,177,18th Street Brewery,Gary,IN
Santa's Secret,Winter Warmer,16.0,0.059,22,179,Carolina Brewery,Pittsboro,NC
Salamander Slam,American IPA,16.0,0.07,73,180,Frog Level Brewing Company,Waynesville,NC
Blonde Hunny,Belgian Pale Ale,12.0,0.068,21,181,Wild Wolf Brewing Company,Nellysford,VA
Wild Wolf Wee Heavy Scottish Style Ale,Scotch Ale / Wee Heavy,12.0,0.057,20,181,Wild Wolf Brewing Company,Nellysford,VA
Wild Wolf American Pilsner,American Pilsner,12.0,0.045,25,181,Wild Wolf Brewing Company,Nellysford,VA
Alpha Ale,American Pale Ale (APA),12.0,0.051,45,181,Wild Wolf Brewing Company,Nellysford,VA
Horny Toad Cerveza,American Blonde Ale,16.0,0.053,25,182,COOP Ale Works,Oklahoma City,OK
Native Amber,American Amber / Red Ale,16.0,0.063,35,182,COOP Ale Works,Oklahoma City,OK
F5 IPA,American IPA,16.0,0.068,100,182,COOP Ale Works,Oklahoma City,OK
Native Amber (2013),American Amber / Red Ale,16.0,0.063,35,182,COOP Ale Works,Oklahoma City,OK
Horny Toad Cerveza (2013),American Blonde Ale,16.0,0.053,25,182,COOP Ale Works,Oklahoma City,OK
Seventh Son of a Seventh Son,American Strong Ale,16.0,0.077,40,183,Seventh Son Brewing Company,Columbus,OH
Stone Fort Brown Ale,English Brown Ale,16.0,0.053,20,183,Seventh Son Brewing Company,Columbus,OH
Seventh Son Hopped Red Ale,American Amber / Red Ale,16.0,0.077,40,183,Seventh Son Brewing Company,Columbus,OH
Humulus Nimbus Super Pale Ale,American Pale Ale (APA),16.0,0.06,53,183,Seventh Son Brewing Company,Columbus,OH
Golden Ratio IPA,American IPA,16.0,0.07,68,183,Seventh Son Brewing Company,Columbus,OH
Lake Monster,Baltic Porter,16.0,0.082,25,184,Oasis Texas Brewing Company,Austin,TX
London Homesick Ale,English Bitter,12.0,0.049,27,184,Oasis Texas Brewing Company,Austin,TX
Luchesa Lager,Keller Bier / Zwickel Bier,12.0,0.048,35,184,Oasis Texas Brewing Company,Austin,TX
Slow Ride,American Pale Ale (APA),12.0,0.048,35,184,Oasis Texas Brewing Company,Austin,TX
Lobo Lito,Light Lager,12.0,0.04,12,187,Pedernales Brewing Company,Fredericksburg,TX
Robert Earl Keen Honey Pils,American Pilsner,12.0,0.05,17,187,Pedernales Brewing Company,Fredericksburg,TX
Towhead,American Blonde Ale,12.0,0.052,21,188,Mother's Brewing,Springfield,MO
Lil' Helper,American IPA,12.0,0.07,70,188,Mother's Brewing,Springfield,MO
Day Hike Session,American IPA,12.0,0.041,41,190,Two Beers Brewing Company,Seattle,WA
Trailhead ISA,American IPA,12.0,0.048,48,190,Two Beers Brewing Company,Seattle,WA
Immersion Amber,American Amber / Red Ale,12.0,0.052,27,190,Two Beers Brewing Company,Seattle,WA
Evo IPA,American IPA,12.0,0.062,70,190,Two Beers Brewing Company,Seattle,WA
Evolutionary IPA (2012),American IPA,12.0,0.062,70,190,Two Beers Brewing Company,Seattle,WA
Persnickety Pale,American Pale Ale (APA),12.0,0.057,36,190,Two Beers Brewing Company,Seattle,WA
SoDo Brown Ale,American Brown Ale,12.0,0.054,20,190,Two Beers Brewing Company,Seattle,WA
Immersion Amber Ale (2011),American Amber / Red Ale,12.0,0.052,27,190,Two Beers Brewing Company,Seattle,WA
Evolutionary IPA (2011),American IPA,12.0,0.062,70,190,Two Beers Brewing Company,Seattle,WA
Trailhead India Style Session Ale (2011),American IPA,12.0,0.048,48,190,Two Beers Brewing Company,Seattle,WA
Snow King Pale Ale,American Pale Ale (APA),12.0,0.06,55,191,Snake River Brewing Company,Jackson,WY
Zonker Stout,Foreign / Export Stout,12.0,0.054,36,191,Snake River Brewing Company,Jackson,WY
OB-1 Organic Ale,English Brown Ale,12.0,0.05,22,191,Snake River Brewing Company,Jackson,WY
Snake River Lager,Vienna Lager,12.0,0.05,18,191,Snake River Brewing Company,Jackson,WY
Snake River Pale Ale,American Pale Ale (APA),12.0,0.052,32,191,Snake River Brewing Company,Jackson,WY
Dark Voyage Black IPA (2013),American Black Ale,12.0,0.065,80,192,Capital Brewery,Middleton,WI
Wisconsin Amber,Vienna Lager,12.0,0.052,28,192,Capital Brewery,Middleton,WI
Lake House,Munich Helles Lager,12.0,0.046,18,192,Capital Brewery,Middleton,WI
Ghost Ship White IPA,American IPA,12.0,0.056,55,192,Capital Brewery,Middleton,WI
Lake House,Munich Helles Lager,16.0,0.046,18,192,Devil's Backbone Brewing Company,Middleton,WI
Mutiny IPA,American IPA,12.0,0.062,70,192,Capital Brewery,Middleton,WI
Mountain Rescue Pale Ale,American Pale Ale (APA),12.0,0.055,40,194,Goodlife Brewing Co.,Bend,OR
Goose Island India Pale Ale,American IPA,12.0,0.059,55,196,Goose Island Brewery Company,Chicago,IL
Couch Select Lager,American Pale Lager,12.0,0.05,14,197,Burnside Brewing Co.,Portland,OR
Double D Blonde,American Blonde Ale,12.0,0.049,20,198,Hop Valley Brewing Company,Springfield,OR
Festeroo Winter Ale,American Strong Ale,12.0,0.078,60,198,Hop Valley Brewing Company,Springfield,OR
Proxima IPA,American IPA,12.0,0.063,70,198,Fort George Brewery,Springfield,OR
Double D Blonde (2013),American Blonde Ale,12.0,0.049,20,198,Hop Farm Brewing Company,Springfield,OR
541 American Lager,American Pale Lager,12.0,0.048,13,198,Hop Valley Brewing Company,Springfield,OR
Alphadelic IPA,American IPA,12.0,0.065,90,198,Hop Valley Brewing Company,Springfield,OR
Alphadelic IPA (2011),American IPA,12.0,0.065,90,198,Hop Valley Brewing Company,Springfield,OR
Double D Blonde (2011),American Blonde Ale,12.0,0.049,20,198,Hop Valley Brewing Company,Springfield,OR
Worthy IPA,American IPA,12.0,0.069,69,199,Upland Brewing Company,Bend,OR
Lights Out Vanilla Cream Extra Stout,American Double / Imperial IPA,12.0,0.077,30,199,Worthy Brewing Company,Bend,OR
Worthy IPA (2013),American IPA,12.0,0.069,69,199,Worthy Brewing Company,Bend,OR
Worthy Pale,American Pale Ale (APA),12.0,0.06,50,199,Worthy Brewing Company,Bend,OR
Loki Red Ale,American Amber / Red Ale,16.0,0.075,53,201,Fearless Brewing Company,Estacada,OR
Loki Red Ale (2013),American Amber / Red Ale,16.0,0.075,53,201,Fearless Brewing Company,Estacada,OR
Campside Session IPA,American IPA,16.0,0.045,50,202,Frog Level Brewing Company,Bloomington,IN
Upland Wheat Ale,Witbier,16.0,0.045,15,202,Upland Brewing Company,Bloomington,IN
Tsunami IPA,American IPA,19.2,0.072,75,203,Oasis Texas Brewing Company,Hilo,HI
Tsunami IPA,American IPA,12.0,0.072,75,203,Mehana Brewing Co.,Hilo,HI
Humpback Blonde Ale,American Blonde Ale,12.0,0.042,22,203,Mehana Brewing Co.,Hilo,HI
Hawaiian Crow Porter,American Porter,12.0,0.052,27,203,Mehana Brewing Co.,Hilo,HI
Volcano Red Ale,American Amber / Red Ale,12.0,0.052,23,203,Mehana Brewing Co.,Hilo,HI
Mauna Kea Pale Ale,American Pale Ale (APA),12.0,0.054,42,203,Mehana Brewing Co.,Hilo,HI
Mound Builder IPA,American IPA,12.0,0.065,77,205,Kettle House Brewing Company,Lafayette,IN
Amazon Princess IPA,American IPA,12.0,0.062,62,205,People's Brewing Company,Lafayette,IN
Vortex IPA,American IPA,16.0,0.074,97,206,Fort George Brewery,Astoria,OR
Evil Owl,American Amber / Red Ale,12.0,0.052,40,207,Branchline Brewing Company,San Antonio,TX
Lewbricator Wheat Dopplebock,Doppelbock,12.0,0.075,24,208,Kalona Brewing Company,Kalona,IA
City of the Sun,American IPA,16.0,0.075,85,209,Modern Times Beer,San Diego,CA
Booming Rollers,American IPA,16.0,0.068,75,209,Modern Times Beer,San Diego,CA
Oneida,American Pale Ale (APA),16.0,0.052,50,209,Modern Times Beer,San Diego,CA
Aurora,American Amber / Red Ale,16.0,0.067,75,209,Modern Times Beer,San Diego,CA
Lomaland,Saison / Farmhouse Ale,16.0,0.055,30,209,SanTan Brewing Company,San Diego,CA
Fortunate Islands,American Pale Wheat Ale,16.0,0.047,46,209,Modern Times Beer,San Diego,CA
Black House,American Stout,16.0,0.058,40,209,Modern Times Beer,San Diego,CA
Blazing World,American Amber / Red Ale,16.0,0.065,115,209,Catawba Island Brewing,San Diego,CA
#002 American I.P.A.,American IPA,12.0,0.071,60,211,Sierra Nevada Brewing Company,Verona,WI
#004 Session I.P.A.,American IPA,12.0,0.048,38,211,Wisconsin Brewing Company,Verona,WI
Monarch Classic American Wheat,American Pale Wheat Ale,12.0,0.043,21,213,Grapevine Craft Brewery,Farmers Branch,TX
Sir William's English Brown Ale,English Brown Ale,12.0,0.049,21,213,Liquid Hero Brewery,Farmers Branch,TX
Lakefire Rye Pale Ale,American Pale Ale (APA),12.0,0.055,35,213,Grapevine Craft Brewery,Farmers Branch,TX
1836,American Blonde Ale,12.0,0.06,40,214,Buffalo Bayou Brewing Company,Houston,TX
Summer's Wit,Witbier,12.0,0.06,20,214,Tallgrass Brewing Company,Houston,TX
More Cowbell,American Double / Imperial IPA,16.0,0.09,118,214,Buffalo Bayou Brewing Company,Houston,TX
First Stand,Saison / Farmhouse Ale,12.0,0.055,35,215,Texian Brewing Co.,Richmond,TX
Battle LIne,American Brown Ale,12.0,0.063,23,215,Boulder Beer Company,Richmond,TX
Broken Bridge,Dunkelweizen,12.0,0.056,12,215,Texian Brewing Co.,Richmond,TX
Brutus,English India Pale Ale (IPA),12.0,0.071,69,215,Texian Brewing Co.,Richmond,TX
What the Butler Saw,Witbier,12.0,0.05,18,217,Forgotten Boardwalk,Cherry Hill,NJ
1916 Shore Shiver,American IPA,12.0,0.069,65,217,People's Brewing Company,Cherry Hill,NJ
Laughing Dog Cream Ale,Cream Ale,12.0,0.05,12,218,High Noon Saloon And Brewery,Ponderay,ID
Two-One Niner,American Pilsner,12.0,0.048,9,218,Laughing Dog Brewing Company,Ponderay,ID
Laughing Dog IPA,American IPA,12.0,0.064,66,218,Laughing Dog Brewing Company,Ponderay,ID
Plum St. Porter,American Porter,12.0,0.06,52,219,Natian Brewery,Bozeman,MT
Plum St. Porter,American Porter,12.0,0.057,52,219,Bozeman Brewing Company,Bozeman,MT
Bozone HopZone IPA,American IPA,12.0,0.07,80,219,Bozeman Brewing Company,Bozeman,MT
Bozone Hefe Weizen,Hefeweizen,12.0,0.06,25,219,Bozeman Brewing Company,Bozeman,MT
Hemlock Double IPA,American Double / Imperial IPA,12.0,0.095,104,220,Big Choice Brewing,Broomfield,CO
Disconnected Red,American Amber / Red Ale,16.0,0.067,85,220,Lone Tree Brewing Company,Broomfield,CO
Arcus IPA,American IPA,12.0,0.069,81,221,Alaskan Brewing Company,Odessa,FL
Wavemaker,American Amber / Red Ale,12.0,0.058,38,221,Big Storm Brewing Company,Odessa,FL
Epitome,American Black Ale,16.0,0.099,100,222,Carton Brewing Company,Atlantic Highlands,NJ
Monkey Chased the Weasel,Berliner Weissbier,16.0,0.039,9,222,Carton Brewing Company,Atlantic Highlands,NJ
077XX,American Double / Imperial IPA,16.0,0.078,80,222,Redhook Brewery,Atlantic Highlands,NJ
Boat Beer,American IPA,12.0,0.042,35,222,Carton Brewing Company,Atlantic Highlands,NJ
Pleasure Town,American IPA,12.0,0.063,61,223,Midnight Sun Brewing Company,Anchorage,AK
Pleasure Town IPA,American IPA,12.0,0.063,61,223,Bomb Beer Company,Anchorage,AK
Snowshoe White Ale,Witbier,12.0,0.048,12,223,Midnight Sun Brewing Company,Anchorage,AK
Kodiak Brown Ale,American Brown Ale,12.0,0.05,24,223,Midnight Sun Brewing Company,Anchorage,AK
Sockeye Red IPA,American IPA,12.0,0.057,70,223,Midnight Sun Brewing Company,Anchorage,AK
Trail Head,American Pale Ale (APA),12.0,0.063,55,224,Stevens Point Brewery,Middleburg Heights,OH
Hop Stalker Fresh Hop IPA,American IPA,16.0,0.07,80,224,Fat Head's Brewery,Middleburg Heights,OH
Blood Orange Wit,Witbier,16.0,0.05,16,225,Refuge Brewery,Temecula,CA
8 Barrel,American Strong Ale,16.0,0.08,69,226,Chatham Brewing,Chatham,NY
The Tradition,American Blonde Ale,12.0,0.05,15,227,DC Brau Brewing Company,Washington,DC
El Hefe Speaks,Hefeweizen,12.0,0.053,11,227,DC Brau Brewing Company,Washington,DC
On the Wings of Armageddon,American Double / Imperial IPA,12.0,0.092,115,227,DC Brau Brewing Company,Washington,DC
The Corruption,American IPA,12.0,0.065,80,227,Caldera Brewing Company,Washington,DC
No Wake IPA,American IPA,12.0,0.072,50,228,Geneva Lake Brewing Company,Lake Geneva,WI
Boathouse Blonde,American Blonde Ale,12.0,0.049,15,228,Geneva Lake Brewing Company,Lake Geneva,WI
Cedar Point,American Amber / Red Ale,12.0,0.05,26,228,Forgotten Boardwalk,Lake Geneva,WI
Imperial Pumpkin Stout,Pumpkin Ale,16.0,0.099,43,230,Bomb Beer Company,Gloucester,MA
Dead-Eye DIPA,American Double / Imperial IPA,16.0,0.09,130,230,Cape Ann Brewing Company,Gloucester,MA
Fisherman's IPA,American IPA,12.0,0.055,64,230,Cape Ann Brewing Company,Gloucester,MA
Fisherman's Pils,German Pilsener,12.0,0.054,35,230,Cape Ann Brewing Company,Gloucester,MA
Fisherman's Brew,American Amber / Red Ale,12.0,0.055,30,230,Cape Ann Brewing Company,Gloucester,MA
Noche Dulce,American Porter,16.0,0.071,16,231,Borderlands Brewing Company,Tucson,AZ
Weize Guy,Hefeweizen,12.0,0.05,15,233,Joseph James Brewing Company,Henderson,NV
Fox Tail Gluten Free Ale,American Pale Ale (APA),12.0,0.05,50,233,Joseph James Brewing Company,Henderson,NV
Hop Box Imperial IPA,American Double / Imperial IPA,12.0,0.093,90,233,Joseph James Brewing Company,Henderson,NV
Joseph James American Lager,American Adjunct Lager,12.0,0.052,15,233,High Noon Saloon And Brewery,Henderson,NV
UFO Gingerland,Herbed / Spiced Beer,12.0,0.052,15,234,Frog Level Brewing Company,Boston,MA
The Long Thaw White IPA,American White IPA,12.0,0.062,45,234,Harpoon Brewery,Boston,MA
Harpoon IPA,American IPA,12.0,0.059,42,234,Hess Brewing Company,Boston,MA
UFO Pumpkin,Pumpkin Ale,12.0,0.059,20,234,Harpoon Brewery,Boston,MA
Harpoon IPA (2012),American IPA,12.0,0.059,42,234,Harpoon Brewery,Boston,MA
UFO White,American Pale Wheat Ale,12.0,0.048,10,234,Harpoon Brewery,Boston,MA
Harpoon IPA (2010),American IPA,12.0,0.059,42,234,Harpoon Brewery,Boston,MA
Black Me Stout,American Stout,12.0,0.06,45,236,Champion Brewing Company,Charlottesville,VA
Missile IPA,American IPA,12.0,0.07,65,236,Due South Brewing Company,Charlottesville,VA
Bravo Four Point,American Pale Ale (APA),12.0,0.044,45,237,Asheville Brewing Company,Lexington,VA
Striped Bass Pale Ale,American Pale Ale (APA),12.0,0.052,26,237,Devil's Backbone Brewing Company,Lexington,VA
Cream Ale,Cream Ale,12.0,0.042,35,238,Newburgh Brewing Company,Newburgh,NY
Ananda India Pale Ale,American IPA,12.0,0.062,61,239,Lost Nation Brewing,Memphis,TN
Tiny Bomb,American Pilsner,12.0,0.045,23,239,Wiseacre Brewing Company,Memphis,TN
Might As Well IPL,American Pale Lager,16.0,0.072,75,240,Golden Road Brewing,Los Angeles,CA
Saison Pamplemousse,Saison / Farmhouse Ale,12.0,0.058,35,240,Golden Road Brewing,Los Angeles,CA
2020 IPA,American IPA,16.0,0.074,74,240,Golden Road Brewing,Los Angeles,CA
Wolf Among Weeds IPA,American IPA,16.0,0.08,70,240,Golden Road Brewing,Los Angeles,CA
Better Weather IPA,American IPA,16.0,0.094,92,240,Golden Road Brewing,Los Angeles,CA
Point the Way IPA,American IPA,16.0,0.059,60,240,Worthy Brewing Company,Los Angeles,CA
Golden Road Hefeweizen,Hefeweizen,16.0,0.046,15,240,Golden Road Brewing,Los Angeles,CA
Heal the Bay IPA,American IPA,16.0,0.068,65,240,Golden Road Brewing,Los Angeles,CA
Point the Way IPA,American IPA,12.0,0.059,60,240,Golden Road Brewing,Los Angeles,CA
Get Up Offa That Brown,American Brown Ale,16.0,0.055,20,240,Ozark Beer Company,Los Angeles,CA
Burning Bush Smoked IPA,American IPA,16.0,0.08,70,240,New Belgium Brewing Company,Los Angeles,CA
Wolf Among Weeds IPA (2012),American IPA,16.0,0.08,70,240,Golden Road Brewing,Los Angeles,CA
Point the Way IPA (2012),American IPA,16.0,0.059,60,240,Golden Road Brewing,Los Angeles,CA
Golden Road Hefeweizen (2012),Hefeweizen,16.0,0.046,15,240,Butcher's Brewing,Los Angeles,CA
Skylight,Dunkelweizen,12.0,0.056,20,241,New Republic Brewing Company,College Station,TX
Kadigan,American Blonde Ale,12.0,0.056,30,241,New Republic Brewing Company,College Station,TX
Dammit Jim!,American Amber / Red Ale,12.0,0.052,50,241,Base Camp Brewing Co.,College Station,TX
Infamous IPA,American IPA,12.0,0.07,75,242,Infamous Brewing Company,Austin,TX
Hijack,Cream Ale,12.0,0.055,20,242,NorthGate Brewing,Austin,TX
Getaway,German Pilsener,16.0,0.052,30,244,Hops & Grain Brewery,Stillwater,MN
Farm Girl Saison,Saison / Farmhouse Ale,16.0,0.06,30,244,Lift Bridge Brewing Company,Stillwater,MN
Pub Ale,English Dark Mild Ale,12.0,0.038,18,245,Lucky Town Brewing Company,Jackson,MS
Ballistic Blonde,Belgian Pale Ale,12.0,0.051,31,245,Defiance Brewing Company,Jackson,MS
Golden Fleece,Belgian Pale Ale,12.0,0.045,35,246,Quest Brewing Company,Greenville,SC
Smoking Mirror,American Porter,12.0,0.055,30,246,Mother Earth Brew Company,Greenville,SC
Tropicalia,American IPA,12.0,0.065,65,247,Creature Comforts,Athens,GA
Pursuit,American IPA,12.0,0.07,40,248,Half Full Brewery,Stamford,CT
Half Full Bright Ale,American Blonde Ale,12.0,0.052,18,248,Kona Brewing Company,Stamford,CT
Ale Cider,Fruit / Vegetable Beer,16.0,0.065,8,250,Straub Brewery,Angola,IN
Pail Ale,American Pale Ale (APA),16.0,0.055,30,250,Chapman's Brewing,Angola,IN
Barrio Blanco,American IPA,12.0,0.06,60,251,Barrio Brewing Company,Tucson,AZ
Giant DIPA,American Double / Imperial IPA,16.0,0.089,88,252,Santa Cruz Mountain Brewing,Santa Cruz,CA
Batch 69 IPA,American IPA,12.0,0.069,69,253,Blue Hills Brewery,Frankenmuth,MI
Twisted Helles Summer Lager,Munich Helles Lager,12.0,0.055,18,253,Frankenmuth Brewery,Frankenmuth,MI
Sobek & Set,American Black Ale,16.0,0.08,80,256,Mavericks Beer Company,Chicago,IL
Wet Hot American Wheat Ale,American Pale Wheat Ale,16.0,0.05,22,256,Finch's Beer Company,Chicago,IL
Fascist Pig Ale,American Amber / Red Ale,16.0,0.08,72,256,Finch's Beer Company,Chicago,IL
LuckenBock,Bock,16.0,0.07,18,257,South Austin Brewery,South Austin,TX
Texas Pale Ale (TPA),American IPA,16.0,0.055,40,257,Round Guys Brewing,South Austin,TX
Wagon Party,California Common / Steam Beer,12.0,0.054,55,258,Ska Brewing Company,Minneapolis,MN
Sky-Five,American IPA,12.0,0.067,70,258,Bauhaus Brew Labs,Minneapolis,MN
Stargrazer,Schwarzbier,12.0,0.05,28,258,Bauhaus Brew Labs,Minneapolis,MN
